cod_barras,descricao, novo Codigo interno
1801175,TE IGUAL CROM 25OD 6000LBS,undefined
1801176,UNIAO IGUAL 25OD,undefined
1801177,UNIAO MACHO CROM 25ODX,undefined
1801178,VALV. ESFERA FEMEA CROM,undefined
1801179,UNIAO FEMEA CROM 25ODX,undefined
1801180,UNIAO MACHO CROM 16ODX,undefined
1801181,TUBO TREF S/COSTURA 25ODX,undefined
1801182,LAVA LOUÇAS NEUTRO 5LTS,undefined
1801183,SACO P/ LIXO 100L C/100 PRETO,undefined
1801184,MARC. CD/DVD2.0,undefined
1801185,CANETA ESF. 0.7,undefined
1801186,EXTRATOR GRAMPO,undefined
1801187,BALDE PLAST 15L,undefined
1801188,MANGUEIRA AR COMPRIMIDO 1/4300PSI P,undefined
1801189,FILTRO SUPERZON,undefined
1801190,TELA LAJE 10 X 4,20 M (2,45 X 6) S,undefined
1801191,FERRO 1/2 VARA,undefined
7898348086298,MOCHILA ESPORTIVA FERRARI,undefined
1801192,ABRACADEIRA ACO P/LAMP FLUOR 15W,undefined
1801193,SOQUETE C/RABICHO C/FLUOR,undefined
1801194,FITA ISOLANTE 3M19X20M,undefined
1801195,CABO FLEXIVEL 1KV 2X2,5MM,undefined
1801196,SENSOR PRES TETO C/FOTO,undefined
1801197,LAMPADA LED TUBULAR T8-60-T,undefined
1801198,LAMPADA LED HYLED 4U-24W,undefined
1801199,LAMPADA LED HYLED 4U-32,undefined
1801200,LAMPADA LED HYLED 4U-16W,undefined
1801201,VALVULA SOLENOIDE 24/60,undefined
1801202,CAMISA SOCIAL MASC BRANCO,undefined
1801203,CAMISA SOCIAL MASC VERMELHO CARDEAL,undefined
1801204,TUBO COBRE FLEXIVEL 6.35 1/4,undefined
1801205,TUBO COBRE FLEXIVEL 12.70 1/2,undefined
1801206,TUBO ISOLANTE POLIETILENO BLINDADO,undefined
1801207,TUBO ISOLANTE POLIETILENO 1/4,undefined
1801208,SUPORTE SPLIT COND 400MM 7K A 12K,undefined
1801209,VALVULA SERVICO 1/4 SPLIT C/VALVULA,undefined
1801210,VALVULA SERVIÇO 1/2 SPLIT C/VALVULA,undefined
1801211,LUVA SEGURANCA COM PROTECAO,undefined
1801212,PA SX ROSCA SOBE 1/4,undefined
1801213,BUCHA DURA 10CM,undefined
1801214,PA AAT C/PANELA 4,8,undefined
1801215,BUCHA DURA 08 MM,undefined
1801216,PAPEL TOALHA INTERF C/2000 20X21,undefined
1801217,SABAO EM PÓ TALIMPO 500G,undefined
1801218,PORTA LAMP DEC 7003 BR,undefined
