cod_barras,descricao,codigo,Novo_codigo
7891342014182,FILTRO PSD 920/2,0000000313    ,undefined
7891150064904,PIC KIBON MAGNUM PRALINE 69G,0000000314    ,undefined
7893590159875,DOCE FADUNI BANANADA LISA 16G,0000000315    ,undefined
7891150068544,PIC KIBON CHICABON ZERO,0000000316    ,undefined
7891000346419,BEB NESTLE MOCA MORANGO 190ML,0000000317    ,undefined
7891000259405,BISC PASSATEMPO CHOC MIX 130,0000000318    ,undefined
7891000251652,BISC PASSATEMPO DOCE DE LEITE 130 G,0000000319    ,undefined
7891000241295,BISC PASSATEMPO MORANGO 130G,0000000320    ,undefined
7891079013861,NISSIN UFO YAKISSOBA LEGUMES 95G,0000000321    ,undefined
7891150059054,SORV KIBON 800ML CREME ZERO LACTOSE,0000000322    ,undefined
7898915802269,MOLA UNICORNIO,0000000323    ,undefined
7898915802252,OVO SURPRESA SLIME INSETOS 98G,0000000324    ,undefined
7896179501751 ,SUCO JANDAIA 200ML MARACUJA ,0000000325    ,undefined
7891150060951,PIC KIBON MAGNUM TRIO CHOCOLATE 69G,0000000326    ,undefined
7891109146385,HAVAIANAS TRADICIONAL AZUL 39/40,0000000327    ,undefined
7893595719968,PAÇOCAO DONA MARTA 52G,0000000328    ,undefined
7899465201182,ENERGETICO VULCANO MIX 60ML,0000000329    ,undefined
80824107,KINDER CREAMY 19G,0000000330    ,undefined
7891991014717,CERV L NECK BECKS 330ML,0000000331    ,undefined
7891075403192 ,PIC KIBON BRIGADEIRO,0000000332    ,undefined
7756509000302,BATERIA EXTERNA POWERNBANK,0000000333    ,undefined
7756509000227,SUPORTE VEICULAR AIR VENT P SMARTHO,0000000334    ,undefined
7891109146620,HAVAIANAS TRADICIONAL PRETO 43/44,0000000335    ,undefined
7893249751887,HAVAIANAS TRADICIONAL FLUX 37/38,0000000336    ,undefined
7894900573701,SUCO  KAPO MARACUJA,0000000337    ,undefined
7898948503027,ADITIVO ANTI CORROSIVO RADIADOR ACAO 500ML,0000000338    ,undefined
7909843238355,HAVAIANAS COLOR ESSENTIAL AREIA 39/40,0000000339    ,undefined
7909843238430,HAVAIANAS COLOR ESSENTIAL MARINHO 41/42,0000000340    ,undefined
7896067202340,BATERIA PANASONIC CR2032,0000000341    ,undefined
7891152341669 ,BISC RICHESTER LEITE ANIM ZOO 200G,0000000342    ,undefined
7896003738797,BISC MARILAN TORTINHA CHOCOLATE 140G,0000000343    ,undefined
7891344001357 ,LUBRAX SUPERA 1LT,0000000344    ,undefined
7898605251698,CERV LATA COLORADO APPIA  XSLEEK 410ML,0000000345    ,undefined
7891008123975,CHOC GAROTO AO LEITE 80G,0000000346    ,undefined
7891000376805,BISC NEGRESCO MORANGO 90G,0000000347    ,undefined
7891095029716,PIPOCA MICROONDAS YOKI NATURAL 50G,0000000348    ,undefined
7891095008452 ,PIP POP MICRO MANTEIGA CINEMA,0000000349    ,undefined
7896024760647,WAFER PIRAQUE CHOCOLATE 4 CAMADAS 100G,0000000350    ,undefined
7891035524189,PEDRA SANITARIA 20G,0000000351    ,undefined
8410525146435,BALA FINI TUBINHO CITRICAS 80G,0000000352    ,undefined
0503008       ,EXTINTOR NOVO ABC 1KG,0000000353    ,undefined
7898024050377 ,ADITIVO STP PETROPLUS TRATAMENTO,0000000354    ,undefined
7891455328954 ,FILTRO PH 3980,0000000355    ,undefined
7896463100547 ,ADITIVO AUT OCTANE BOOSTER  210ML,0000000356    ,undefined
7898024050452 ,ADITIVO GAS TREATMENT STP,0000000357    ,undefined
7896058500240,DORI GELATINA AMORA 60G,0000000358    ,undefined
7898192251545,CHOC CIA CACAU 70 CACAU 20G,0000000359    ,undefined
0101002       ,GASOLINA COMUM C ADIT PETROBRAS GRI,0000000360    ,undefined
6958547548864,CAPA NOVO RG ICOVERS,0000000361    ,undefined
7896058500202,DORI GELATINA BOCA 60G,0000000362    ,undefined
7896058500196,DORI GELATINA BANANA 60G,0000000363    ,undefined
7896058595468,PESCOÇO GIRAFA DORI MORANGO 30G,0000000364    ,undefined
7896058595277,DORI GELATINA FLOR RECHEADA 85G,0000000365    ,undefined
7891342010566 ,FILTRO  PEL 106,0000000366    ,undefined
7898307296690,LIMPA AR CONDICIONADO GRANADA LAVAN,0000000367    ,undefined
7891281002660 ,CASTROL GTX ANTI BORRA 20W50 1L,0000000368    ,undefined
7896587300724 ,IPIRANGA   2T  1LT,0000000369    ,undefined
7891344000381 ,LUBRAX EXTRA TURBO 1L,0000000370    ,undefined
7891344009193 ,LUBRAX TOP TURBO 3L,0000000371    ,undefined
7896463100516 ,ADITIVO AUT STOP SMOKE 460 ML,0000000372    ,undefined
7891342004770 ,FILTRO ARL 6093,0000000373    ,undefined
7891342012126,FILTRO ARL 8829,0000000374    ,undefined
7798186474755,WEGA JFC 207/3,0000000375    ,undefined
7891150088764,PIC KIBON TURMA MONICA 40G,0000000376    ,undefined
78943261,CIG KENT RED BLEND BOX,0000000377    ,undefined
7891342005531 ,FILTRO AR TECFIL 9609,0000000378    ,undefined
78943155,CIG KENT RED SERIES,0000000379    ,undefined
7898307291145,ADITITVO TOTAL FLEX TEC MOTOR 200ML,0000000380    ,undefined
7894900051513,REF FANTA UVA 2L,0000000381    ,undefined
7898024397915,NUTELLA B -READY 22G,0000000382    ,undefined
7898996132392,CIG SOUZA PAIOL SERIE OURO,0000000383    ,undefined
7894900701715,REF COCA COLA ZERO 1L,0000000384    ,undefined
1104010,CIG FREE SILVER KENT BOX,0000000385    ,undefined
78942998,CIG KENT SILVER BOX,0000000386    ,undefined
78943001,CIG KENT BLUE BLEND BOX,0000000387    ,undefined
7890732078988,HAVAIANAS TRADICIONAL AMARELO CITRICO 37/38,0000000388    ,undefined
0000723,TRANCA SOL,0000000389    ,undefined
78943247,CIG KENT RED BOX,0000000390    ,undefined
7896031234117 ,FEIJOADA SWIFT 830 G,0000000391    ,undefined
7898917469927,SORV PARDAL MILHO VERDE 1,5,0000000392    ,undefined
7898185413332,ESCOVA DENTAL CLEAN MEDIA,0000000393    ,undefined
090363648,PIRILITO MEGALITO,0000000394    ,undefined
0901049,CHOC NESTLE,0000000395    ,undefined
7622210570116,CHOC OURO BRANCO CROCANT 25G,0000000396    ,undefined
7891152800944,BISC RICHESTERC TORTINHA BRIGADEIRO 140G,0000000397    ,undefined
7891055337349,ESCOVA DE DENTE CONDOR DUPLA AÇAO,0000000398    ,undefined
0004569,MASCARA UNIDADE,0000000399    ,undefined
7622210563477,TRIDENT MAX MENTA BLUEBERRY 16,5G,0000000400    ,undefined
7896071001953,BISC MAIZENA MABEL 400G,0000000401    ,undefined
070330183575,CANETA BIC AZUL ESF FINA C/50,0000000402    ,undefined
7896037913030,SUCO DE UVA QUINTA DO MORGADOTINTO INTEGRAL 300ML,0000000403    ,undefined
5010093501778,WHISKY TEACHERS IMPORTADO 1L,0000000404    ,undefined
7898917469118,PIC PARDAL CHOCOLATE,0000000405    ,undefined
7898950283016,PAPAEL PAPELITO TRADICIONAL,0000000406    ,undefined
7896383700131 ,CAIPIRINHA YPIOCA LIMÃO,0000000407    ,undefined
7891125000081,MARTINI ROSATO 750ML,0000000408    ,undefined
7891008124873,CHOC BATON CHOCOCROC 80G,0000000409    ,undefined
7896024761002,BISC PIRAQUE PREMIUM 27G,0000000410    ,undefined
7891150090491,PIC KIBON FRUTARE PAL ABACAXI 59G,0000000411    ,undefined
7898080664914,ENERGETICO BALY TANGERINA 473 ML,0000000412    ,undefined
070330703629,BARBEADOR BIC SENSITIVE,0000000413    ,undefined
7896002302135,PINGUINOS TRIPLO CHOCOLATE 80G,0000000414    ,undefined
7898936965042,PRESERVATIVO SEX FREE BASIC ,0000000415    ,undefined
7898936965226,PRESERVATIVO SEX FREE MMORANGO,0000000416    ,undefined
7892840817954,BATATA LAYS SOUR CREAM 40G,0000000417    ,undefined
7898380412253,CHIPS BELIVE BATATA DOCE 50G,0000000418    ,undefined
78931404,CIG LUXOR HARMONY,0000000419    ,undefined
7894488000101,HASTES FLEXIVEIS FLOCONETES 75 UND,0000000420    ,undefined
7896002100014,CACHAÇA 51 ORIGINAL 965ML,0000000421    ,undefined
7896423419276,CHOC M & M S MINIS (TUBO),0000000422    ,undefined
7891149840915,CERV LATA BOHEMIA 350ML,0000000423    ,undefined
7896383730213,YPIOCA PRATA 480ML,0000000424    ,undefined
7891991302777,CERV L NECK BOHEMIA,0000000425    ,undefined
7896007200504 ,PRESERVATIVO ELITE,0000000426    ,undefined
7892840812423,AGUA H2OH LIMAO 500ML,0000000427    ,undefined
7898380412260,CHIPS BELIVE MANDIOCA 50G,0000000428    ,undefined
0904012,BALA POCKET COFFEE RICLAN,0000000429    ,undefined
7891152800937,BISC RICHESTER TORTINHA CHOCOLATE 140G,0000000430    ,undefined
7622210575999,CHOC LACTA BIS BRANCO 100,8G,0000000431    ,undefined
7898903991579,PRESERVATIVO RILEX MELANCIA,0000000432    ,undefined
7898557010169,SNACK ROOTS BATATA DOCE ROXA 45G,0000000433    ,undefined
7798040468753,RING POP LOL SURPRESA 10G,0000000434    ,undefined
7898903991487,PRESERVATIVOS RILEX LUBRIFICADO,0000000435    ,undefined
7506161220804,OVO CHOCOLATE LOL SURPRESA 20G,0000000436    ,undefined
7891344014845,LUBRAX ESSENCIAL SN 10W30 1L,0000000437    ,undefined
7897900312295 ,TRIO CHOC LIGHT,0000000438    ,undefined
7896024726742,WAFER PIRAQUE BRIGADEIRO 100G,0000000439    ,undefined
7897395000974,CERV L NECK ITAIPAVA PILSEN 330ML,0000000440    ,undefined
7898367984377,CERV LATA EISENBAHN UNFILTERED 350 ML,0000000441    ,undefined
78923584,CIG PARLIAMENT FT BOX,0000000442    ,undefined
7898367984346,CERV L NECK EISENBAHN UNFILTERED 355ML ,0000000443    ,undefined
7891344013909,LUBRAX ESSENCIAL SL 20W50 3LITROS,0000000444    ,undefined
78915398,VALDA FRIENDS SEM ACUCAR 25G,0000000445    ,undefined
7896001004504 ,ESPONJA ESFREBOM,0000000446    ,undefined
7890218233658,CHIP  OI,0000000447    ,undefined
7892840820114,RUFFLES CHURRASCO 40G,0000000448    ,undefined
7891022101003 ,ESPONJA DE AÇO BOMBRIL.,0000000449    ,undefined
7622300989408,BISC OREO MILKSHAKE MORANGO 90G,0000000450    ,undefined
78943025,CIG KENT BOOST BLEND,0000000451    ,undefined
7896002110419,SMIRNOFF ICE 51 LIMAO 275ML,0000000452    ,undefined
7891152801750,BISC RICHESTER AMORI CHOCOLATE 63G,0000000453    ,undefined
78900066,CIG MALBORO BLUE ICE MENTHOL BOX,0000000454    ,undefined
